District ID,District Name,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
218,Regional School District 18,2010-11,100,10,28,62
118,Ridgefield School District,2010-11,349,4.6,21.8,73.6
119,Rocky Hill School District,2010-11,156,6.4,26.3,67.3
121,Salem School District,2010-11,51,3.9,33.3,62.7
122,Salisbury School District,2010-11,25,20,40,40
123,Scotland School District,2010-11,20,5,10,85
124,Seymour School District,2010-11,171,25.1,37.4,37.4
125,Sharon School District,2010-11,17,11.8,64.7,23.5
126,Shelton School District,2010-11,313,41.2,35.1,23.6
127,Sherman School District,2010-11,29,0,10.3,89.7
270,Side By Side Community School District,2010-11,20,10,35,55
128,Simsbury School District,2010-11,241,7.9,23.7,68.5
129,Somers School District,2010-11,100,12,25,63
132,South Windsor School District,2010-11,227,15.9,39.6,44.5
131,Southington School District,2010-11,478,20.5,58.8,20.7
133,Sprague School District,2010-11,40,47.5,32.5,20
134,Stafford School District,2010-11,124,16.1,30.6,53.2
135,Stamford School District,2010-11,1282,21.9,36,42.1
136,Sterling School District,2010-11,53,9.4,32.1,58.5
137,Stonington School District,2010-11,149,26.2,50.3,23.5
138,Stratford School District,2010-11,461,17.8,38.8,43.4
139,Suffield School District,2010-11,117,23.1,64.1,12.8
140,Thomaston School District,2010-11,70,11.4,40,48.6
141,Thompson School District,2010-11,87,21.8,34.5,43.7
142,Tolland School District,2010-11,191,16.2,38.7,45
143,Torrington School District,2010-11,393,30.3,40.2,29.5
144,Trumbull School District,2010-11,402,11.7,36.1,52.2
145,Union School District,2010-11,7,14.3,42.9,42.9
146,Vernon School District,2010-11,249,18.9,35.3,45.8
147,Voluntown School District,2010-11,32,3.1,21.9,75
148,Wallingford School District,2010-11,392,16.8,40.8,42.3
151,Waterbury School District,2010-11,1578,31.8,40.6,27.6
152,Waterford School District,2010-11,119,10.1,42,47.9
153,Watertown School District,2010-11,177,15.3,43.5,41.2
155,West Hartford School District,2010-11,695,15.3,41.7,43
156,West Haven School District,2010-11,505,28.1,49.1,22.8
154,Westbrook School District,2010-11,66,18.2,51.5,30.3
157,Weston School District,2010-11,22,4.5,9.1,86.4
158,Westport School District,2010-11,392,23.2,41.3,35.5
159,Wethersfield School District,2010-11,242,24.8,43,32.2
160,Willington School District,2010-11,33,12.1,24.2,63.6
161,Wilton School District,2010-11,286,1.7,26.2,72
162,Winchester School District,2010-11,19,26.3,42.1,31.6
163,Windham School District,2010-11,264,30.3,44.3,25.4
165,Windsor Locks School District,2010-11,136,26.5,47.8,25.7
164,Windsor School District,2010-11,194,30.4,38.1,31.4
166,Wolcott School District,2010-11,166,21.1,36.7,42.2
167,Woodbridge School District,2010-11,85,48.2,43.5,8.2
169,Woodstock School District,2010-11,96,11.5,18.8,69.8
,Statewide,2010-11,35603,21.95901469,38.87729967,39.16185153
